phaseName,phaseModule,phaseAlloc,phaseTime
Parser ,Network.HaskellNet.IMAP.Connection,1860112,0.73
Renamer/typechecker ,Network.HaskellNet.IMAP.Connection,4806752,3.725
Desugar ,Network.HaskellNet.IMAP.Connection,875208,0.644
Simplifier ,Network.HaskellNet.IMAP.Connection,7593688,6.009
Specialise ,Network.HaskellNet.IMAP.Connection,423648,0.386
"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False}) ",Network.HaskellNet.IMAP.Connection,1461264,1.181
Simplifier ,Network.HaskellNet.IMAP.Connection,6385248,4.559
Simplifier ,Network.HaskellNet.IMAP.Connection,2104808,1.528
Simplifier ,Network.HaskellNet.IMAP.Connection,2104808,1.403
Float inwards ,Network.HaskellNet.IMAP.Connection,23512,1.0e-2
Called arity analysis ,Network.HaskellNet.IMAP.Connection,25072,1.3e-2
Simplifier ,Network.HaskellNet.IMAP.Connection,2700976,1.99
Demand analysis ,Network.HaskellNet.IMAP.Connection,1998752,1.057
Worker Wrapper binds ,Network.HaskellNet.IMAP.Connection,67224,9.3e-2
Simplifier ,Network.HaskellNet.IMAP.Connection,3837400,2.247
Exitification transformation ,Network.HaskellNet.IMAP.Connection,26032,1.1e-2
"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True}) ",Network.HaskellNet.IMAP.Connection,1455824,0.857
Common sub-expression ,Network.HaskellNet.IMAP.Connection,24616,1.0e-2
Float inwards ,Network.HaskellNet.IMAP.Connection,23512,9.0e-3
Simplifier ,Network.HaskellNet.IMAP.Connection,5423120,6.012
Demand analysis ,Network.HaskellNet.IMAP.Connection,2007480,1.083
CoreTidy ,Network.HaskellNet.IMAP.Connection,1603320,0.982
CorePrep ,Network.HaskellNet.IMAP.Connection,24504,1.5e-2
CodeGen ,Network.HaskellNet.IMAP.Connection,21057096,13.657
CorePrep ,Network.HaskellNet.IMAP.Connection,24504,2.8e-2
CodeGen ,Network.HaskellNet.IMAP.Connection,21158528,14.252
