phaseName,phaseModule,phaseAlloc,phaseTime
Parser ,Network.HaskellNet.SMTP.Internal,7339880,2.097
Renamer/typechecker ,Network.HaskellNet.SMTP.Internal,43268168,47.309
Desugar ,Network.HaskellNet.SMTP.Internal,4838840,3.737
Simplifier ,Network.HaskellNet.SMTP.Internal,47884816,43.279
Specialise ,Network.HaskellNet.SMTP.Internal,2048136,1.118
"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = False}) ",Network.HaskellNet.SMTP.Internal,8336936,8.803
Simplifier ,Network.HaskellNet.SMTP.Internal,56943368,50.416
Simplifier ,Network.HaskellNet.SMTP.Internal,54696976,44.899
Simplifier ,Network.HaskellNet.SMTP.Internal,108349768,122.181
Float inwards ,Network.HaskellNet.SMTP.Internal,22920,1.0e-2
Called arity analysis ,Network.HaskellNet.SMTP.Internal,24480,1.3e-2
Simplifier ,Network.HaskellNet.SMTP.Internal,82520128,72.422
Demand analysis ,Network.HaskellNet.SMTP.Internal,38349112,29.553
Worker Wrapper binds ,Network.HaskellNet.SMTP.Internal,830920,2.37
Simplifier ,Network.HaskellNet.SMTP.Internal,131372520,183.086
Exitification transformation ,Network.HaskellNet.SMTP.Internal,25440,1.1e-2
"Float out(FOS {Lam = Just 0, Consts = True, OverSatApps = True}) ",Network.HaskellNet.SMTP.Internal,33491120,29.028
Common sub-expression ,Network.HaskellNet.SMTP.Internal,24024,1.7e-2
Float inwards ,Network.HaskellNet.SMTP.Internal,22920,1.1e-2
Simplifier ,Network.HaskellNet.SMTP.Internal,112587344,101.405
Demand analysis ,Network.HaskellNet.SMTP.Internal,62635912,33.077
CoreTidy ,Network.HaskellNet.SMTP.Internal,9445168,6.025
CorePrep ,Network.HaskellNet.SMTP.Internal,23912,2.0e-2
CodeGen ,Network.HaskellNet.SMTP.Internal,395742048,254.545
CorePrep ,Network.HaskellNet.SMTP.Internal,23912,3.3e-2
CodeGen ,Network.HaskellNet.SMTP.Internal,401736024,254.448
